8877689391,2016-04-10 11:00:00,7639
8877689391,2016-03-27 15:00:00,7500
8877689391,2016-03-27 16:00:00,7424
8877689391,2016-03-12 14:00:00,6962
8877689391,2016-03-23 18:00:00,6919
8877689391,2016-04-02 16:00:00,6731
8877689391,2016-04-04 19:00:00,6501
8877689391,2016-03-17 18:00:00,6216
8877689391,2016-03-16 18:00:00,6016
8877689391,2016-03-22 18:00:00,5828
8877689391,2016-03-30 12:00:00,5802
8877689391,2016-03-18 17:00:00,5767
8877689391,2016-04-08 16:00:00,5639
8877689391,2016-04-03 16:00:00,5309
2873212765,2016-03-13 08:00:00,5296
8877689391,2016-03-19 14:00:00,5283
8877689391,2016-04-09 15:00:00,5263
8053475328,2016-04-03 15:00:00,5222
8053475328,2016-04-11 19:00:00,5191
2022484408,2016-03-29 10:00:00,5183
8877689391,2016-04-10 12:00:00,5158
8053475328,2016-03-13 22:00:00,5023
8877689391,2016-04-06 19:00:00,5022
8877689391,2016-03-14 19:00:00,5005
8877689391,2016-03-29 12:00:00,4993
8053475328,2016-03-19 14:00:00,4924
2022484408,2016-03-25 09:00:00,4921
5577150313,2016-04-02 11:00:00,4908
2022484408,2016-03-21 10:00:00,4833
8053475328,2016-03-13 20:00:00,4805
8053475328,2016-03-13 14:00:00,4789
8053475328,2016-04-04 20:00:00,4753
2873212765,2016-03-18 16:00:00,4722
5577150313,2016-04-01 19:00:00,4718
2022484408,2016-03-18 09:00:00,4702
8053475328,2016-04-03 18:00:00,4674
7007744171,2016-03-22 08:00:00,4630
2022484408,2016-03-24 18:00:00,4605
2022484408,2016-03-21 17:00:00,4602
2022484408,2016-03-23 09:00:00,4597
2022484408,2016-03-14 09:00:00,4582
7086361926,2016-04-07 17:00:00,4581
6117666160,2016-03-24 12:00:00,4547
8877689391,2016-03-20 17:00:00,4545
5577150313,2016-04-02 12:00:00,4458
8378563200,2016-04-11 05:00:00,4450
8378563200,2016-03-23 05:00:00,4450
8378563200,2016-03-24 05:00:00,4450
8378563200,2016-04-04 05:00:00,4450
8378563200,2016-03-25 05:00:00,4450
8378563200,2016-03-31 05:00:00,4450
8378563200,2016-04-05 05:00:00,4450
8378563200,2016-03-14 05:00:00,4450
8378563200,2016-04-12 05:00:00,4450
8378563200,2016-03-22 05:00:00,4450
8378563200,2016-04-08 05:00:00,4450
8378563200,2016-03-28 05:00:00,4450
8378563200,2016-04-07 05:00:00,4450
8378563200,2016-04-06 05:00:00,4450
8378563200,2016-03-29 05:00:00,4450
2022484408,2016-03-26 09:00:00,4417
8053475328,2016-04-02 12:00:00,4393
2022484408,2016-03-30 09:00:00,4375
6117666160,2016-03-18 18:00:00,4356
7007744171,2016-04-03 09:00:00,4321
8053475328,2016-03-12 18:00:00,4240
2022484408,2016-03-16 09:00:00,4237
8877689391,2016-03-20 16:00:00,4211
6290855005,2016-03-12 09:00:00,4190
2022484408,2016-03-31 10:00:00,4123
8877689391,2016-03-14 20:00:00,4120
2022484408,2016-04-01 09:00:00,4119
7007744171,2016-03-21 08:00:00,4091
2022484408,2016-04-06 09:00:00,4086
2347167796,2016-03-20 08:00:00,4012
8053475328,2016-04-07 19:00:00,4010
8053475328,2016-04-06 19:00:00,3996
8877689391,2016-04-01 19:00:00,3993
5577150313,2016-03-13 08:00:00,3971
5577150313,2016-03-16 19:00:00,3970
2022484408,2016-04-09 07:00:00,3963
8877689391,2016-04-09 16:00:00,3937
2022484408,2016-03-15 10:00:00,3926
7007744171,2016-03-17 23:00:00,3918
2022484408,2016-03-31 09:00:00,3911
2022484408,2016-03-12 08:00:00,3911
8053475328,2016-03-13 21:00:00,3894
2022484408,2016-04-11 09:00:00,3859
2873212765,2016-04-09 07:00:00,3858
1927972279,2016-03-30 13:00:00,3856
1503960366,2016-03-26 16:00:00,3848
8877689391,2016-04-10 10:00:00,3845
7007744171,2016-04-08 08:00:00,3838
8053475328,2016-04-02 16:00:00,3822
5577150313,2016-03-15 14:00:00,3821
8877689391,2016-03-19 13:00:00,3818
5577150313,2016-03-31 07:00:00,3799
5577150313,2016-04-06 06:00:00,3786
1503960366,2016-03-27 10:00:00,3784
2022484408,2016-03-29 09:00:00,3768
5577150313,2016-04-05 06:00:00,3768
8877689391,2016-04-06 18:00:00,3763
8053475328,2016-03-20 19:00:00,3750
5577150313,2016-03-28 06:00:00,3741
8877689391,2016-03-30 18:00:00,3731
7007744171,2016-04-04 08:00:00,3712
6117666160,2016-03-25 12:00:00,3711
